iter	MultiClass
0	1.455167561
1	1.284556317
2	1.140805967
3	1.036117985
4	0.9753925983
5	0.9145336837
6	0.874046139
7	0.8137640397
8	0.7963354423
9	0.7639799993
10	0.7373452492
11	0.7203565199
12	0.7041312874
13	0.6878883338
14	0.6764147524
15	0.6589641145
16	0.6405554751
17	0.6301190145
18	0.6096556581
19	0.5796252219
20	0.5704641556
21	0.5628789973
22	0.5516286008
23	0.5418148852
24	0.5326103063
25	0.5235720373
26	0.5148483343
27	0.5043047871
28	0.4972498828
29	0.4879866934
30	0.4818838262
31	0.4775355011
32	0.473821971
33	0.4703626891
34	0.4609946318
35	0.4572634003
36	0.4556118497
37	0.4485131004
38	0.4436752966
39	0.4411695331
40	0.4377517898
41	0.4339652002
42	0.426803401
43	0.4206382127
44	0.4162724647
45	0.4121982762
46	0.4096967848
47	0.4053844556
48	0.4035948651
49	0.3995595244
50	0.3930925498
51	0.3895466634
52	0.3860511824
53	0.3829804605
54	0.3817428658
55	0.3744988216
56	0.3704007537
57	0.3669308772
58	0.3605350063
59	0.3578919578
60	0.3551905373
61	0.353289115
62	0.3497649777
63	0.3474329762
64	0.3446123869
65	0.3401038297
66	0.3369238185
67	0.3335874483
68	0.3303635939
69	0.3271743595
70	0.3248224912
71	0.3226203713
72	0.3202656045
73	0.3192968107
74	0.3170996806
75	0.3155361456
76	0.3133580812
77	0.3110739519
78	0.3077341737
79	0.3031083958
80	0.3009505244
81	0.2994651208
82	0.2971182788
83	0.2955176833
84	0.2936694334
85	0.2898342538
86	0.2881476496
87	0.2865763524
88	0.2846336037
89	0.2833231297
90	0.2800442222
91	0.2786324057
92	0.2760717549
93	0.274723139
94	0.2727409508
95	0.2719777097
96	0.2696147101
97	0.2690185084
98	0.2685723624
99	0.2672884761
100	0.2664168191
101	0.265250333
102	0.2633371489
103	0.2621294771
104	0.2603209397
105	0.2591862835
106	0.2576185589
107	0.256336354
108	0.2547228041
109	0.2528633364
110	0.2513323853
111	0.2503700691
112	0.2486116519
113	0.247067988
114	0.2461482076
115	0.2449293218
116	0.2437584448
117	0.2409955796
118	0.2404660349
119	0.2402711941
120	0.2385703456
121	0.2367100082
122	0.2349668891
123	0.234194451
124	0.2330800051
125	0.2315513007
126	0.2301407681
127	0.229234661
128	0.2289865138
129	0.2276935985
130	0.226861897
131	0.2255691422
132	0.2246420461
133	0.2183754491
134	0.217607744
135	0.2172936464
136	0.2162628001
137	0.2147127253
138	0.2138389342
139	0.2126172466
140	0.2110989888
141	0.2104613374
142	0.2102630539
143	0.2095583099
144	0.2087965304
145	0.2072516946
146	0.2062371415
147	0.2056253899
148	0.2043759619
149	0.2039272561
150	0.2033209046
151	0.2024463001
152	0.2016142587
153	0.1999193881
154	0.1988951091
155	0.1973984071
156	0.1952714116
157	0.1948140893
158	0.1940978818
159	0.1933220611
160	0.1924901925
161	0.1920713761
162	0.1908541579
163	0.1899400091
164	0.189175063
165	0.1883037514
166	0.1872793022
167	0.186812186
168	0.185732838
169	0.1849569548
170	0.1841807376
171	0.1835747691
172	0.1828818699
173	0.181251267
174	0.1805287175
175	0.1780330937
176	0.1764204461
177	0.1750502631
178	0.174905788
179	0.1738100829
180	0.1734552556
181	0.1725733138
182	0.1721013362
183	0.1715440822
184	0.1710596668
185	0.1700780296
186	0.1694935299
187	0.1690851463
188	0.168202182
189	0.1680397154
190	0.1676654415
191	0.1669797851
192	0.165868925
193	0.1645354217
194	0.1640632213
195	0.1633769936
196	0.1629321549
197	0.1623206105
198	0.1616839747
199	0.160907115
200	0.1602022279
201	0.159999857
202	0.1593447089
203	0.1585955344
204	0.1576403258
205	0.1573463852
206	0.1563954643
207	0.1559737245
208	0.154962829
209	0.1544417247
210	0.1540807217
211	0.1536046583
212	0.1531992767
213	0.1522589704
214	0.1517156242
215	0.1500084426
216	0.149438395
217	0.1488147748
218	0.1483043218
219	0.1481092245
220	0.1474180431
221	0.1467914228
222	0.1467162987
223	0.1462273269
224	0.1451856836
225	0.1448205985
226	0.1443078473
227	0.1440292955
228	0.1436979552
229	0.1429904178
230	0.1427343393
231	0.1418437597
232	0.1413230976
233	0.1405143255
234	0.1401050419
235	0.1395324573
236	0.1390441618
237	0.1381819316
238	0.1380798795
239	0.1376835977
240	0.1373763026
241	0.1369358408
242	0.1365780789
243	0.1364519852
244	0.1360198406
245	0.1358150738
246	0.1353137474
247	0.1346151326
248	0.1344751443
249	0.1341148601
250	0.133941704
251	0.133405977
252	0.1312219762
253	0.1307393875
254	0.1301111418
255	0.1297543688
256	0.1295551872
257	0.1294439151
258	0.1293423229
259	0.1286048455
260	0.1281544709
261	0.1278073759
262	0.1270818611
263	0.1268076109
264	0.1263961322
265	0.1263247542
266	0.1260850754
267	0.1254753164
268	0.1251303949
269	0.1250060992
270	0.1234565435
271	0.1231516913
272	0.1217311774
273	0.1212611532
274	0.1209745863
275	0.1207603366
276	0.120244002
277	0.1201894773
278	0.1197865861
279	0.1193691669
280	0.1192179992
281	0.1191024161
282	0.1187881175
283	0.1185927015
284	0.1180430716
285	0.1176766294
286	0.1175637838
287	0.1172782217
288	0.1171027489
289	0.1169568012
290	0.1165944257
291	0.1164063884
292	0.1162994933
293	0.1161565796
294	0.1157559824
295	0.1153304365
296	0.1149744898
297	0.1147793311
298	0.1136799302
299	0.1128941635
300	0.1127708429
301	0.1122336969
302	0.1119952475
303	0.1115367278
304	0.1113421432
305	0.1110025126
306	0.1106371303
307	0.1105262049
308	0.1101537014
309	0.1097870854
310	0.1097234313
311	0.1094682301
312	0.1094439272
313	0.1091493323
314	0.1088326824
315	0.1087365014
316	0.1085286306
317	0.1082102443
318	0.1080020606
319	0.1078704815
320	0.1075013349
321	0.1061820472
322	0.1056635982
323	0.1052212684
324	0.104947882
325	0.104749472
326	0.1045197779
327	0.104326174
328	0.1035482574
329	0.103304668
330	0.1030524807
331	0.1024560355
332	0.1023367686
333	0.1019625791
334	0.1017755625
335	0.1013581354
336	0.1009285819
337	0.100525491
338	0.1001248642
339	0.0999988577
340	0.09987789713
341	0.09971440544
342	0.09965730766
343	0.09916327812
344	0.09869999418
345	0.09856808029
346	0.09846142313
347	0.09819646833
348	0.09792680943
349	0.09759272723
350	0.09727048301
351	0.09671409236
352	0.0966479064
353	0.09628209486
354	0.09592562678
355	0.09584724285
356	0.09538918372
357	0.09486963472
358	0.09453089028
359	0.09417786509
360	0.09376314396
361	0.09366480353
362	0.09352488612
363	0.09331271749
364	0.09302050816
365	0.09235212302
366	0.09200730504
367	0.09175360933
368	0.09141638209
369	0.09108538867
370	0.09056902762
371	0.09030561673
372	0.0900579692
373	0.08981206104
374	0.08962942594
375	0.08914970243
376	0.0888778165
377	0.08880796646
378	0.08870364725
379	0.0885671103
380	0.08833591279
381	0.08831275413
382	0.08805410375
383	0.08798951118
384	0.08786850925
385	0.08766296482
386	0.08758789691
387	0.08747631107
388	0.08706205776
389	0.08681309109
390	0.08654635251
391	0.0863473189
392	0.08628586717
393	0.08612550893
394	0.08606084086
395	0.08602081444
396	0.08581765379
397	0.08534855624
398	0.0850732614
399	0.08490369562
400	0.08465587952
401	0.08442928528
402	0.08404682288
403	0.08396019364
404	0.08362739114
405	0.08339529125
406	0.08334364837
407	0.08318590785
408	0.08311162628
409	0.08295800007
410	0.08274742321
411	0.08240279058
412	0.08234560126
413	0.08222963884
414	0.08200226537
415	0.08192711917
416	0.08137192596
417	0.08119247499
418	0.08098554645
419	0.08075221132
420	0.08049121892
421	0.08042247175
422	0.08027895626
423	0.08023876871
424	0.0800537883
425	0.07972403573
426	0.07956862762
427	0.07953941383
428	0.07937164187
429	0.078865264
430	0.07873063897
431	0.07854316548
432	0.07831044248
433	0.07815480596
434	0.07785496036
435	0.07747020958
436	0.07729908422
437	0.07697975076
438	0.0767520256
439	0.07671102248
440	0.07653358645
441	0.0764392082
442	0.07634101991
443	0.07622680844
444	0.07619531821
445	0.07608755589
446	0.07600117847
447	0.07582245356
448	0.07571202271
449	0.07566450962
450	0.07544525402
451	0.0753353019
452	0.07520249912
453	0.07512522319
454	0.07484642606
455	0.07459864641
456	0.07426020683
457	0.07423623152
458	0.07409706627
459	0.07390422277
460	0.07377516805
461	0.07374516153
462	0.07363345241
463	0.07346197179
