iter	MultiClass_SumError	MultiClass_SumWeight
200	175.4767505	590
201	175.9304788	590
202	175.3221149	590
203	174.345129	590
204	173.3485095	590
205	173.5080941	590
206	172.360277	590
207	171.828983	590
208	171.1169326	590
209	171.4222227	590
210	170.8088537	590
211	170.6287235	590
212	170.5257876	590
213	170.1524751	590
214	169.6932859	590
215	167.9466265	590
216	166.7681938	590
217	166.8915203	590
218	167.2451374	590
219	167.2864233	590
220	166.8132694	590
221	166.3236636	590
222	165.9499046	590
223	166.0197044	590
224	166.2077306	590
225	165.8664562	590
226	165.5683814	590
227	165.636539	590
228	165.5821106	590
229	165.096875	590
230	165.4693337	590
231	164.8889848	590
232	164.8361697	590
233	164.7299857	590
234	164.9807757	590
235	164.0216509	590
236	164.2825494	590
237	165.643849	590
238	165.6577374	590
239	165.5796099	590
240	165.5312769	590
241	165.3327074	590
242	165.7039921	590
243	166.4087383	590
244	166.6336217	590
245	166.3431908	590
246	165.8327966	590
247	164.5923357	590
248	164.5861217	590
249	164.8293515	590
250	164.8362905	590
251	164.1022316	590
252	162.3517475	590
253	162.2821755	590
254	161.8958679	590
255	161.5636014	590
256	161.4307261	590
257	161.3715934	590
258	161.3327248	590
259	161.8399041	590
260	161.4054435	590
261	161.0919926	590
262	159.5816662	590
263	160.2996423	590
264	160.1041617	590
265	160.0808111	590
266	160.1759071	590
267	160.607837	590
268	160.3566638	590
269	160.2437714	590
270	161.1686013	590
271	161.3240721	590
272	159.1805148	590
273	159.366983	590
274	159.6365659	590
275	159.6316379	590
276	159.491964	590
277	159.4718607	590
278	159.04011	590
279	158.9391231	590
280	159.0987892	590
281	158.8744549	590
282	158.7994998	590
283	159.1500673	590
284	158.1598931	590
285	157.2424937	590
286	157.4662565	590
287	157.6973613	590
288	157.6470446	590
289	157.6434639	590
290	157.8739436	590
291	157.7835039	590
292	157.805037	590
293	158.1215162	590
294	158.6326829	590
295	157.8734917	590
296	157.9538347	590
297	157.6014933	590
298	155.8442172	590
299	154.7658489	590
300	155.2271492	590
301	155.4841675	590
302	155.7091627	590
303	154.9758702	590
304	154.4783739	590
305	154.2022686	590
306	154.1476845	590
307	154.107904	590
308	154.7407307	590
309	154.1318374	590
310	154.1325507	590
311	154.036624	590
312	154.0346818	590
313	154.1771333	590
314	154.2743574	590
315	154.4555197	590
316	154.1385928	590
317	154.6379118	590
318	154.7102633	590
319	155.2630236	590
320	154.782799	590
321	153.7567874	590
322	153.5068724	590
323	153.5600652	590
324	154.1540337	590
325	154.1796161	590
326	154.0645485	590
327	153.3428739	590
328	151.917922	590
329	152.4550804	590
330	152.3550001	590
331	152.2651166	590
332	152.3509014	590
333	152.4430533	590
334	152.3330945	590
335	151.477807	590
336	150.7629221	590
337	150.3275901	590
338	149.9034489	590
339	149.9603794	590
340	149.971128	590
341	150.0691415	590
