iter	Passed	Remaining
0	6	6249
1	10	5184
2	15	5024
3	19	4913
4	24	4835
5	28	4755
6	33	4712
7	37	4658
8	42	4654
9	46	4612
10	50	4550
11	54	4512
12	59	4493
13	63	4465
14	67	4442
15	71	4398
16	76	4403
17	80	4385
18	84	4349
19	88	4336
20	92	4309
21	96	4307
22	101	4311
23	105	4293
24	109	4276
25	113	4256
26	117	4233
27	121	4225
28	125	4210
29	129	4196
30	133	4178
31	137	4168
32	141	4155
33	145	4138
34	149	4133
35	153	4119
36	157	4109
37	162	4101
38	166	4091
39	170	4082
40	173	4069
41	178	4061
42	182	4055
43	186	4042
44	190	4033
45	193	4019
46	197	4010
47	201	4003
48	205	3997
49	210	3992
50	214	3982
51	218	3977
52	222	3967
53	226	3959
54	230	3957
55	234	3947
56	238	3944
57	242	3933
58	246	3929
59	250	3925
60	254	3915
61	258	3910
62	262	3903
63	266	3897
64	270	3893
65	274	3887
66	279	3887
67	283	3884
68	287	3876
69	291	3872
70	295	3864
71	299	3858
72	303	3850
73	307	3849
74	311	3844
75	315	3836
76	319	3831
77	323	3822
78	327	3816
79	331	3809
80	335	3803
81	339	3798
82	343	3791
83	347	3787
84	351	3780
85	355	3774
86	359	3769
87	363	3762
88	367	3757
89	370	3750
90	375	3746
91	378	3739
92	383	3737
93	387	3734
94	391	3728
95	395	3723
96	399	3716
97	403	3710
98	407	3707
99	411	3705
100	415	3700
101	419	3694
102	423	3689
103	427	3686
104	431	3679
105	435	3674
106	439	3668
107	443	3664
108	447	3659
109	451	3655
110	456	3653
111	459	3647
112	464	3642
113	468	3639
114	472	3633
115	476	3629
116	480	3623
117	484	3618
118	488	3613
119	492	3608
120	496	3604
121	500	3598
122	504	3593
123	507	3588
124	512	3584
125	516	3580
126	520	3576
127	524	3574
128	528	3570
129	532	3566
130	536	3562
131	540	3556
132	544	3551
133	548	3547
134	552	3542
135	556	3537
136	560	3532
137	564	3528
138	569	3524
139	573	3519
140	577	3515
141	581	3510
142	585	3506
143	588	3500
144	592	3495
145	596	3489
146	600	3485
147	604	3480
148	608	3475
149	612	3470
150	616	3465
151	620	3461
152	624	3456
153	628	3451
154	632	3447
155	636	3442
156	640	3438
157	644	3432
158	648	3427
159	651	3422
160	655	3417
161	659	3413
162	663	3408
163	667	3404
164	671	3398
165	675	3394
166	679	3389
167	683	3384
168	687	3379
169	691	3374
170	695	3370
171	698	3364
172	702	3360
173	707	3356
174	710	3351
175	715	3347
176	718	3343
177	723	3339
178	726	3334
179	730	3329
180	734	3325
181	738	3320
182	742	3316
183	746	3311
184	750	3307
185	754	3303
186	758	3298
187	762	3294
188	766	3289
189	770	3285
190	774	3280
191	778	3276
192	783	3274
193	786	3269
194	790	3264
195	794	3260
196	798	3255
197	802	3252
198	806	3247
199	810	3243
200	815	3240
201	819	3236
202	823	3231
203	827	3227
204	831	3223
205	835	3218
206	839	3214
207	843	3211
208	847	3206
209	851	3202
210	855	3197
211	859	3193
212	863	3189
213	867	3184
214	871	3181
215	875	3176
216	879	3172
217	883	3167
218	887	3163
219	891	3159
220	895	3154
221	899	3150
222	902	3146
223	906	3141
224	910	3137
225	914	3133
226	919	3129
227	922	3124
228	926	3120
229	930	3116
230	934	3112
231	939	3108
232	943	3104
233	947	3102
234	952	3101
235	956	3097
236	961	3095
237	965	3092
238	970	3089
239	974	3086
240	979	3083
241	983	3080
242	987	3077
243	994	3082
244	1004	3094
245	1014	3109
246	1023	3118
247	1029	3121
248	1034	3120
249	1042	3127
250	1046	3122
251	1050	3118
252	1054	3113
253	1058	3108
254	1062	3104
255	1066	3099
256	1070	3095
257	1074	3090
258	1078	3085
259	1082	3081
260	1086	3077
261	1090	3073
262	1095	3069
263	1099	3065
264	1103	3060
265	1107	3056
266	1111	3052
267	1115	3048
268	1119	3043
269	1123	3038
270	1127	3033
271	1132	3030
272	1136	3026
273	1140	3021
274	1144	3017
275	1148	3012
276	1152	3008
277	1156	3003
278	1160	2998
279	1164	2994
280	1168	2989
281	1172	2985
282	1176	2980
283	1180	2976
284	1184	2971
285	1188	2967
286	1192	2963
287	1196	2958
288	1200	2954
289	1204	2949
290	1208	2945
291	1213	2942
292	1217	2937
293	1221	2932
294	1225	2928
295	1229	2924
296	1233	2920
297	1237	2915
298	1241	2911
299	1246	2908
300	1250	2904
301	1255	2900
302	1259	2896
303	1263	2893
304	1268	2889
305	1272	2885
306	1276	2880
307	1280	2876
308	1284	2871
309	1288	2867
310	1292	2863
311	1296	2858
312	1300	2853
313	1304	2849
314	1308	2845
315	1312	2840
316	1316	2836
317	1320	2832
318	1324	2827
319	1328	2822
320	1332	2818
321	1336	2814
322	1340	2809
323	1344	2805
324	1348	2801
325	1352	2797
326	1356	2792
327	1361	2788
328	1365	2784
329	1369	2780
330	1373	2776
331	1377	2772
332	1381	2768
333	1385	2763
334	1389	2759
335	1394	2754
336	1398	2750
337	1402	2746
338	1406	2741
339	1410	2737
340	1414	2733
341	1418	2728
342	1422	2724
343	1426	2719
344	1430	2715
345	1434	2710
346	1438	2706
347	1442	2702
348	1446	2697
349	1450	2693
350	1454	2689
351	1458	2684
352	1462	2680
353	1466	2675
354	1470	2672
355	1475	2668
356	1479	2664
357	1483	2659
358	1487	2655
359	1491	2651
360	1495	2647
361	1499	2642
362	1503	2638
363	1507	2634
364	1511	2629
365	1515	2625
366	1519	2621
367	1523	2616
368	1527	2612
369	1531	2608
370	1535	2603
371	1539	2599
372	1543	2594
373	1548	2591
374	1552	2587
375	1556	2583
376	1560	2579
377	1564	2574
378	1568	2570
379	1573	2566
380	1577	2562
381	1581	2558
382	1585	2554
383	1589	2550
384	1594	2546
385	1598	2542
386	1602	2538
387	1606	2534
388	1610	2529
389	1614	2525
390	1619	2522
391	1623	2518
392	1627	2514
393	1631	2509
394	1636	2505
395	1640	2502
396	1644	2497
397	1648	2493
398	1652	2489
399	1657	2485
400	1661	2481
401	1665	2477
402	1669	2473
403	1673	2469
404	1677	2464
405	1682	2461
406	1686	2457
407	1690	2453
408	1695	2449
409	1699	2445
410	1703	2441
411	1707	2437
412	1711	2433
413	1716	2428
414	1720	2424
415	1724	2420
416	1728	2416
417	1732	2412
418	1736	2408
419	1740	2403
420	1745	2400
421	1749	2396
422	1753	2392
423	1758	2388
424	1762	2384
425	1766	2380
426	1771	2377
427	1775	2372
428	1779	2368
429	1783	2364
430	1787	2360
431	1792	2356
432	1796	2352
433	1800	2348
434	1805	2344
435	1809	2340
436	1813	2336
437	1817	2332
438	1821	2328
439	1826	2324
440	1830	2320
441	1834	2315
442	1838	2311
443	1842	2307
444	1847	2303
445	1851	2300
446	1855	2295
447	1860	2291
448	1864	2287
449	1868	2283
450	1872	2279
451	1876	2275
452	1881	2271
453	1885	2267
454	1889	2263
455	1893	2259
456	1897	2255
457	1902	2251
458	1906	2247
459	1910	2242
460	1914	2238
461	1918	2234
462	1923	2230
463	1927	2226
464	1931	2222
465	1935	2217
466	1939	2213
467	1943	2209
468	1948	2206
469	1953	2202
470	1957	2199
471	1962	2195
472	1966	2191
473	1970	2186
474	1974	2182
475	1978	2178
476	1982	2174
477	1986	2169
478	1990	2165
479	1995	2161
480	1998	2156
481	2003	2152
482	2007	2148
483	2011	2144
484	2015	2140
485	2019	2136
486	2024	2132
487	2028	2127
488	2032	2123
489	2036	2119
490	2040	2115
491	2045	2111
492	2049	2107
493	2053	2103
494	2058	2099
495	2062	2095
496	2066	2091
497	2071	2088
498	2075	2083
499	2079	2079
500	2084	2076
501	2088	2072
502	2094	2069
503	2098	2065
504	2104	2062
505	2108	2058
506	2113	2055
507	2118	2052
508	2123	2048
509	2128	2044
510	2133	2041
511	2137	2037
512	2142	2033
513	2147	2030
514	2152	2026
515	2156	2022
516	2161	2019
517	2165	2015
518	2170	2011
519	2174	2007
520	2179	2003
521	2183	1999
522	2188	1995
523	2192	1991
524	2196	1987
525	2201	1983
526	2205	1979
527	2209	1975
528	2214	1971
529	2217	1966
530	2222	1963
531	2226	1958
532	2231	1954
533	2235	1950
534	2239	1946
535	2244	1942
536	2248	1938
537	2253	1934
538	2257	1930
539	2261	1926
540	2265	1922
541	2270	1918
542	2274	1914
543	2278	1909
544	2282	1905
545	2287	1901
546	2291	1897
547	2295	1893
548	2299	1889
549	2303	1884
550	2308	1880
551	2311	1876
552	2316	1872
553	2320	1867
554	2324	1863
555	2328	1859
556	2332	1855
557	2336	1850
558	2340	1846
559	2344	1842
560	2349	1838
561	2353	1833
562	2357	1829
563	2361	1825
564	2365	1821
565	2370	1817
566	2374	1813
567	2378	1809
568	2383	1805
569	2387	1800
570	2391	1796
571	2395	1792
572	2399	1787
573	2403	1783
574	2407	1779
575	2411	1775
576	2416	1771
577	2420	1767
578	2424	1763
579	2428	1758
580	2432	1754
581	2436	1750
582	2440	1745
583	2445	1741
584	2448	1737
585	2453	1733
586	2457	1728
587	2461	1724
588	2465	1720
589	2469	1715
590	2473	1712
591	2478	1708
592	2482	1703
593	2486	1699
594	2490	1695
595	2494	1691
596	2498	1686
597	2503	1682
598	2507	1678
599	2511	1674
600	2515	1670
601	2520	1666
602	2524	1661
603	2528	1657
604	2533	1653
605	2537	1649
606	2541	1645
607	2545	1641
608	2550	1637
609	2554	1633
610	2558	1628
611	2562	1624
612	2567	1620
613	2571	1616
614	2575	1612
615	2579	1607
616	2583	1603
617	2587	1599
618	2591	1595
619	2595	1590
620	2599	1586
621	2603	1582
622	2608	1578
623	2612	1574
624	2617	1570
625	2621	1566
626	2625	1561
627	2629	1557
628	2633	1553
629	2638	1549
630	2643	1546
631	2649	1542
632	2654	1539
633	2659	1535
634	2664	1531
635	2670	1528
636	2674	1524
637	2679	1520
638	2684	1516
639	2689	1512
640	2693	1508
641	2698	1504
642	2703	1500
643	2707	1496
644	2711	1492
645	2715	1488
646	2719	1483
647	2724	1479
648	2727	1475
649	2732	1471
650	2736	1467
651	2741	1463
652	2745	1458
653	2749	1454
654	2753	1450
655	2757	1446
656	2761	1441
657	2765	1437
658	2769	1433
659	2773	1428
660	2777	1424
661	2781	1420
662	2785	1415
663	2789	1411
664	2793	1407
665	2797	1403
666	2801	1398
667	2806	1394
668	2810	1390
669	2814	1386
670	2818	1382
671	2822	1377
672	2826	1373
673	2830	1368
674	2834	1364
675	2838	1360
676	2842	1356
677	2846	1351
678	2850	1347
679	2854	1343
680	2858	1338
681	2862	1334
682	2866	1330
683	2870	1326
684	2874	1321
685	2878	1317
686	2882	1313
687	2886	1309
688	2890	1304
689	2894	1300
690	2898	1296
691	2902	1291
692	2906	1287
693	2910	1283
694	2914	1279
695	2918	1274
696	2922	1270
697	2926	1266
698	2930	1262
699	2934	1257
700	2939	1253
701	2943	1249
702	2947	1245
703	2951	1241
704	2956	1237
705	2961	1233
706	2965	1228
707	2969	1224
708	2973	1220
709	2977	1216
710	2981	1211
711	2985	1207
712	2989	1203
713	2993	1199
714	2997	1194
715	3001	1190
716	3005	1186
717	3010	1182
718	3014	1178
719	3018	1173
720	3022	1169
721	3026	1165
722	3030	1160
723	3034	1156
724	3038	1152
725	3042	1148
726	3047	1144
727	3051	1140
728	3055	1135
729	3059	1131
730	3063	1127
731	3067	1123
732	3071	1118
733	3075	1114
734	3079	1110
735	3083	1106
736	3087	1101
737	3092	1097
738	3096	1093
739	3100	1089
740	3104	1084
741	3108	1080
742	3112	1076
743	3116	1072
744	3120	1068
745	3124	1063
746	3128	1059
747	3132	1055
748	3136	1050
749	3140	1046
750	3144	1042
751	3148	1038
752	3152	1034
753	3156	1029
754	3160	1025
755	3164	1021
756	3168	1017
757	3172	1012
758	3176	1008
759	3180	1004
760	3184	1000
761	3188	995
762	3192	991
763	3196	987
764	3201	983
765	3205	979
766	3210	975
767	3214	971
